店铺名,星级,点评数量,人均,口味,环境,服务
桐记小灶儿牛板筋火锅(悠唐购物中心店),准五星商户,1986,￥104,8.7,8.7,8.7
重八牛府(风雨同路店),五星商户,645,￥94,9.4,9.4,9.4
珍滋味港式粥火锅(工体店),五星商户,3509,￥223,9.2,9.0,9.2
旬野菜(东方广场店),准五星商户,313,￥143,9.1,9.0,8.7
小红袍香港私房火锅料理(三里屯店),准五星商户,1141,￥340,8.9,8.5,8.7
老北京涮肉(交道口店),四星商户,25,￥95,8.3,8.3,8.4
汕头八合里海记牛肉店(清河店),五星商户,3787,￥122,9.2,9.1,8.6
私蜀老灶火锅(黄寺店),准五星商户,755,￥106,8.9,9.0,8.8
假如在成都耗儿鱼美蛙火锅(佳忆.青年汇店),准五星商户,1093,￥93,8.6,9.0,8.7
金簋小山城(簋街二店),四星商户,1665,￥103,8.1,7.7,7.6
羊火涮肉,五星商户,746,￥116,9.1,9.1,9.0
旬野菜-新派日式火锅(望京港旅店),准五星商户,1202,￥128,8.9,9.0,9.0
三味缘牛蛙火锅(官园店),五星商户,3700,￥96,9.1,8.4,8.9
脑馋粉儿串串香火锅(大望路店),准五星商户,223,￥97,8.7,9.0,8.4
巴湘锅龙虾坊,准四星商户,340,￥104,7.8,7.4,7.3
香港海梦火锅,四星商户,6,￥138,7.8,7.8,7.8
旬野菜新派日式火锅(方庄店),准五星商户,89,￥84,9.0,9.0,8.9
三味缘牛蛙火锅(马连道店),五星商户,362,￥102,9.3,9.2,9.3
假如在成都耗儿鱼美蛙火锅(簋街店),准五星商户,1796,￥94,8.7,8.6,9.0
重八牛府(小刀牛试店),五星商户,5222,￥148,9.2,9.1,9.3
满恒记火锅,五星商户,13522,￥84,9.2,8.5,8.8
聚宝源(牛街北口店),准五星商户,17720,￥104,9.1,7.5,7.7
红中 | 宇宙中心的串串(五道口店),五星商户,662,￥73,9.1,9.1,9.1
南门涮肉(东单店),五星商户,2664,￥115,9.1,9.1,9.0
重八牛府(之初入江湖店),五星商户,5812,￥90,9.2,8.8,9.2
温野菜日式火锅,五星商户,12682,￥146,9.0,9.1,8.9
伊豆野菜村(金地中心店),五星商户,6021,￥149,9.0,9.0,9.1
聚焦鲜牛肉潮汕火锅,五星商户,1352,￥108,9.3,9.4,9.5
南门涮肉(东河沿店),五星商户,2687,￥91,9.1,8.3,8.7
牛街聚宝源涮肉(牡丹园店),五星商户,748,￥107,9.1,8.2,8.3
初色海鲜自助火锅(七里庄店),五星商户,4017,￥281,9.1,8.9,8.6
耍牛忙串串香(百子湾创始店),五星商户,594,￥75,9.1,8.8,8.5
高兴火锅(知春路店),五星商户,6730,￥103,9.1,9.0,9.3
漫火锅(北京市百货大楼店),五星商户,10557,￥124,9.1,9.1,9.2
者火·善造,五星商户,361,￥203,9.2,9.2,9.2
捞王锅物料理(apm店),五星商户,517,￥141,9.1,9.2,9.2
释·火锅料理(旗舰总店),五星商户,288,￥251,9.4,9.4,9.4
初色海鲜姿造自助火锅(时代名门商场店),五星商户,2355,￥294,9.1,9.1,9.1
就三桌涮肉馆,五星商户,591,￥95,9.3,9.1,9.2
海底捞火锅(王府井in88店),五星商户,4562,￥113,9.1,9.1,9.2
匠品毛肚火锅,五星商户,509,￥96,9.2,9.2,9.4
有面儿串串香火锅(工体店),五星商户,339,￥79,9.1,8.6,9.0
有范儿串串香火锅(刘家窑店),五星商户,458,￥69,9.2,9.0,9.1
北平三兄弟涮肉(簋街店),五星商户,4631,￥115,9.0,9.0,8.7
牛街聚宝源涮肉(望京店),准五星商户,5741,￥105,9.1,8.1,8.3
日坛涮肉,五星商户,2684,￥142,9.1,9.1,8.3
佐佑帐篷餐厅,准五星商户,1233,￥190,7.7,9.2,9.2
湊湊 火锅·茶憩(三里屯店),准五星商户,3854,￥140,8.7,9.1,9.0
今捞猪肚鸡椰子鸡锅物料理,五星商户,4398,￥129,9.1,8.8,9.1
海底捞火锅(大屯北路店),五星商户,2435,￥112,9.2,9.2,9.2
海底捞火锅(红庙店),五星商户,4630,￥114,9.0,8.7,9.1
一岚一山(川味正宗串串香),五星商户,1328,￥70,9.0,8.5,8.9
阿易婆港式海鲜肥牛火锅酒家,五星商户,202,￥306,9.2,9.3,9.1
牛村来人潮汕鲜牛肉火锅(西单店),准五星商户,3115,￥124,9.1,9.0,8.4
老饕饕客火锅(三里屯店),五星商户,1027,￥128,9.0,9.2,9.1
官也街澳门火锅(国贸商城店),五星商户,145,￥390,9.2,9.2,9.0
聚宝源(牛街南口店),准五星商户,5013,￥107,9.2,7.8,8.2
小红门港式海鲜火锅,五星商户,130,￥421,9.2,9.2,9.1
宣武小院涮肉,五星商户,583,￥90,9.2,8.5,8.9
海底捞火锅(崇文门新世界百货店),五星商户,1438,￥113,9.2,9.2,9.2
香草香草云南原生态火锅(回龙观店),五星商户,385,￥91,9.4,9.3,9.3
京虎门爆肚涮肉(广渠门店),五星商户,286,￥96,9.1,9.2,8.8
宏源南门涮肉(天坛店),准五星商户,5081,￥87,8.8,7.4,7.6
束河人家(南锣鼓巷店),五星商户,2776,￥158,8.9,9.1,8.8
官也街澳门火锅(新源街店),五星商户,1170,￥371,9.1,8.8,8.6
饭局烤涮一体,五星商户,1393,￥94,9.0,8.6,9.1
湊湊.火锅.茶憩(望京西路店),五星商户,883,￥133,9.0,9.2,9.1
大鱼海塘,五星商户,209,￥78,9.0,9.2,8.8
海底捞火锅(白家庄店),五星商户,4642,￥117,8.9,8.6,9.1
海底捞火锅(大钟寺店),五星商户,2030,￥112,9.2,9.1,9.1
海底捞火锅(翠微路店),五星商户,2384,￥115,9.1,9.1,9.2
湊湊火锅·茶憩(大兴绿地缤纷城店),五星商户,272,￥138,9.0,9.2,9.1
伊豆野菜村(顺义店),五星商户,2566,￥144,9.0,9.1,9.1
ZEROGO环球健康素食,五星商户,157,￥91,9.1,9.3,9.2
海底捞火锅(紫竹桥店),五星商户,3828,￥112,9.1,9.1,9.2
老诚一锅(双榆树店),五星商户,2355,￥96,9.1,8.6,8.6
斗川火锅(牡丹园店),五星商户,665,￥100,9.1,9.2,9.2
我还年轻毛肚火锅(三里屯店),五星商户,97,￥102,9.1,9.1,9.1
香闺串香坞(西单店),五星商户,1158,￥98,8.8,9.1,8.7
行运打边炉,准五星商户,222,￥226,8.9,8.6,7.6
捞王锅物料理(丰联店),五星商户,1949,￥132,9.1,9.0,9.1
和记潮汕牛肉火锅(总店),五星商户,704,￥110,9.1,9.0,8.8
香闺串香坞(宣武门店),五星商户,138,￥97,9.0,9.2,9.1
老诚一锅(东四十条店),五星商户,1809,￥90,9.3,9.2,9.3
丽江庭院之爱在路上(西单店),五星商户,7943,￥151,8.7,9.1,9.0
海底捞火锅(丰台北路万丰桥店),五星商户,1903,￥129,9.2,9.2,9.3
湊湊·火锅·茶憩(北京银座和谐广场店),五星商户,1301,￥126,8.9,9.1,9.0
美炉火锅,五星商户,327,￥189,8.7,9.3,9.1
日坛涮肉,五星商户,179,￥158,8.9,9.1,8.7
南门涮肉(通州店),五星商户,375,￥104,9.2,9.2,9.1
京九门老北京铜锅涮肉,五星商户,157,￥96,9.1,9.1,9.2
学院路串串火锅(五道口店),五星商户,144,￥76,9.1,9.1,9.1
束河人家(东单店),五星商户,2397,￥140,9.0,9.1,8.9
吃闹热串串火锅,五星商户,527,￥92,9.0,9.1,9.1
海底捞火锅(枫蓝国际购物中心店),五星商户,2301,￥119,9.0,9.1,9.1
叫座儿鲜煲火锅(亚运村店),五星商户,1477,￥90,9.2,9.2,9.3
老码头火锅(鸟巢店),五星商户,1813,￥110,9.1,9.1,9.0
北门涮肉(什刹海店),五星商户,4407,￥96,9.1,8.8,9.1
南门涮肉(北洼路店),准五星商户,1205,￥91,9.0,8.2,8.5
北平三兄弟涮肉(洋桥店),五星商户,870,￥108,9.2,9.2,9.2
宏源南门涮肉(前海店),准五星商户,3859,￥94,9.0,8.5,8.3
海底捞火锅(上地华联店),五星商户,1015,￥111,9.2,9.2,9.2
者火 和牛涮锅专门店,五星商户,977,￥345,9.0,8.8,9.1
艎海传奇海鲜自助火锅(丰联广场店),五星商户,3377,￥241,9.0,9.0,9.1
海底捞火锅(太阳宫店),准五星商户,64,￥119,8.9,9.0,9.0
铁瓷涮肉(良乡店),五星商户,238,￥86,9.3,9.2,9.2
海底捞火锅(石景山万达店),五星商户,643,￥120,9.3,9.2,9.3
镇三关重庆老火锅(工体旗舰店),五星商户,995,￥140,9.1,9.2,9.1
湊湊火锅·茶憩(王府井大街店),准五星商户,1903,￥135,8.7,9.1,8.9
巷里小院串串香,五星商户,140,￥80,9.1,9.0,9.1
WALA  蛙辣火锅,准五星商户,282,￥175,8.5,9.2,8.6
汕头八合里海记牛肉店(玲珑路店),准五星商户,1792,￥125,9.1,9.0,8.3
海底捞火锅(方庄蒲方路店),五星商户,3238,￥113,9.2,9.1,9.2
海底捞火锅(望京港旅店),五星商户,1294,￥126,9.2,9.2,9.2
北门涮肉(地坛店),五星商户,4335,￥90,9.1,8.8,8.9
羊大爷涮肉坊(亮马桥店),准五星商户,2162,￥122,8.8,9.0,8.5
牛麒荟潮汕牛肉火锅,五星商户,113,￥94,9.3,9.2,9.3
蝎王府(虎坊桥店),五星商户,5417,￥89,9.1,8.6,8.1
海底捞火锅(望京国际商业中心店),五星商户,4611,￥109,8.9,8.6,9.1
葫芦娃牛板筋火锅,五星商户,652,￥60,9.1,8.3,9.1
牧羊姑娘,五星商户,231,￥94,9.2,9.1,9.1
甲丁-堤岸打边炉,五星商户,438,￥129,9.0,8.6,8.8
看庭前火锅·烧烤季(香山店),五星商户,657,￥126,9.1,9.4,9.1
海底捞火锅(通州华联店),五星商户,1169,￥117,9.2,9.2,9.2
匹夫涮肉城(西三旗店),五星商户,3791,￥100,9.1,9.2,9.1
北门涮肉(美术馆店),五星商户,608,￥86,9.2,9.1,9.1
南门涮肉(朝阳路店),准五星商户,1369,￥96,9.0,8.3,8.3
表哥羊鸡火锅(望京店),五星商户,169,￥175,9.1,9.0,9.1
海底捞火锅(亦庄华联店),五星商户,1008,￥120,9.2,9.2,9.2
丁卯涮肉,准五星商户,930,￥131,8.9,8.9,8.4
潮代鲜牛肉火锅(三里屯店),五星商户,333,￥133,9.0,9.1,9.1
官也街澳门火锅(东直门店),五星商户,1025,￥376,9.1,9.1,8.9
鸦儿李记(和平里店),五星商户,1023,￥86,9.0,8.6,8.6
海底捞火锅(华联万柳购物中心店),五星商户,2826,￥112,9.0,9.0,9.1
北门涮肉(南锣鼓巷),五星商户,3854,￥96,9.1,8.5,9.0
铜景大院老北京铜锅涮肉,准五星商户,287,￥103,8.9,9.0,8.7
海底捞火锅(马家堡西路店),五星商户,4178,￥112,8.9,8.7,9.1
楠哥有肉,五星商户,175,￥87,9.1,8.8,8.7
四季汤厨椰子鸡 猪肚鸡,五星商户,1249,￥110,9.1,9.2,9.1
有面儿串串香火锅(刘家窑店),准五星商户,964,￥83,9.0,8.6,8.7
有范儿串串香火锅(酒仙桥店),准五星商户,451,￥68,8.7,8.5,9.0
食神锅奉行(西单店),五星商户,562,￥687,9.0,9.1,9.1
烹然四季椰子鸡火锅(高和萃东三环北路店),准五星商户,5172,￥142,8.8,8.9,8.5
| 添椒 | 潮涮三国IP火锅,准五星商户,2458,￥139,8.7,9.1,9.1
日和美炉,五星商户,1463,￥192,8.7,9.3,9.2
纳西家云南养生斑鱼火锅,五星商户,221,￥88,9.3,9.2,9.2
玲珑居老北京涮羊肉(玲珑路店),五星商户,350,￥102,9.1,9.1,9.0
唇辣号重庆老火锅(五道口店),五星商户,1227,￥107,9.1,9.1,9.1
鲸一食堂(麒麟新天地店),准五星商户,545,￥90,8.6,8.9,8.5
大成醉串串(蒲黄榆店),五星商户,440,￥58,9.1,8.8,9.0
三味缘牛蛙火锅(三里河店),五星商户,3517,￥92,9.0,8.7,9.0
重庆渝善老火锅,五星商户,196,￥96,9.1,9.2,9.2
湊湊 火锅·茶憩(方庄时代店),五星商户,71,￥131,9.1,9.2,9.1
黄门老灶火锅(双井旗舰店),准五星商户,5048,￥132,9.0,8.3,8.4
唇辣号重庆老火锅(亚运村店),五星商户,143,￥106,9.0,9.1,9.0
乾和元涮肉(亚运村店),五星商户,126,￥98,8.9,9.1,9.1
和合四季椰子鸡火锅(五棵松店),准五星商户,4611,￥116,8.9,9.0,9.0
泉水蒸汽石锅鱼(旗舰店),五星商户,315,￥156,9.1,9.3,9.1
湊湊 火锅·茶憩(海淀黄庄店),准五星商户,980,￥139,8.7,9.0,9.0
老诚一锅羊蝎子(王府井直营店),五星商户,354,￥72,9.0,8.6,8.8
耕牛堂（訸記）潮汕鲜牛肉火锅(望京店),五星商户,315,￥119,9.1,9.1,9.1
孙大大甲鱼馆(金源店),五星商户,132,￥96,9.1,8.2,8.7
浩杉毛肚火锅(首开福茂店),五星商户,518,￥110,9.3,9.2,9.2
伊尹海鲜自助火锅(万丰路店),五星商户,1714,￥272,9.0,9.1,9.0
蝎王府(潘家园店),五星商户,4492,￥84,9.1,8.5,8.8
京门老爆三(亦庄店),五星商户,364,￥99,9.1,9.1,8.8
芦月轩羊蝎子(北蜂窝店),五星商户,2571,￥85,9.1,8.8,9.0
朴氏私家火锅,准五星商户,488,￥91,9.1,8.4,8.5
小渝府的串,五星商户,237,￥61,9.0,9.0,8.7
福口居(北太平庄店),准五星商户,5453,￥77,8.5,8.2,8.4
尽膳口福跷脚牛肉(国贸商城店),准五星商户,649,￥193,8.8,9.2,8.8
小龙坎老火锅(通州店),准五星商户,205,￥103,8.9,9.0,8.2
满朋轩餐厅,准五星商户,1643,￥83,8.8,7.8,8.1
芦月轩羊蝎子(劲松店),五星商户,401,￥81,9.1,9.1,9.1
羊大爷涮肉坊(动物园店),准五星商户,666,￥115,8.9,9.1,8.1
老九门串串香,五星商户,576,￥73,9.1,8.7,9.1
束河人家(爱琴海购物公园店),五星商户,686,￥140,8.9,9.1,9.0
唇辣号重庆老火锅(亦庄店),五星商户,119,￥114,9.2,9.1,9.2
